" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","268.5041409144"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"72","12306","-1146.2920185974","0.0030590214","0.4032206479","1.0219575471","523.3037193074","365.0599686378","158.2437506696","254.1738488066","294.1042838648","-39.9304350582","-45.8287142527","5.8982791945","132.7246152556","170.8881609560","-9.5084923468","-142.9356651707","133.4271728239","4.9482344719","15.3117495728","112.4646312110","0.0000000000","0.0000000000"
"73","8783","-1146.2991689815","0.0030372263","0.4062578741","1.0262203340","523.3079820942","364.6147160116","158.6932660826","253.7285961804","295.5291567895","-41.8005606091","-47.7157086573","5.9151480482","132.0126364742","172.6933271895","-9.1768068742","-143.5542686990","134.3774618248","5.0317751680","15.1909359884","111.7899253178","0.0000000000","0.0000000000"
"74","8436","-1146.2998240661","0.0030352373","0.4092931114","1.0266108705","523.3083726307","364.6840530893","158.6243195414","253.7979332580","291.2711632717","-37.4732300136","-43.3454425122","5.8722124986","133.2906517851","167.7517302050","-9.7712187185","-144.4001118635","134.6288931450","4.9555387251","15.2052819553","113.1298311048","0.0000000000","0.0000000000"
"75","12288","-1146.3003605701","0.0030336093","0.4123267207","1.0269307137","523.3086924740","364.6610632998","158.6476291742","253.7749434686","293.4148080259","-39.6398645573","-45.4530394377","5.8131748804","133.1001190755","170.4746940934","-10.1600051430","-144.3929399283","134.2329347853","4.9441677598","15.4070986443","112.7488526714","0.0000000000","0.0000000000"
"76","12530","-1146.3022460940","0.0030278947","0.4153546154","1.0280547913","523.3098165516","365.0137584069","158.2960581446","254.1276385757","293.1161764239","-38.9885378482","-44.8537550729","5.8652172247","132.9529335864","169.9415583707","-9.7783155332","-143.5065386333","133.7282231000","4.9397102374","14.9923700798","113.0208532692","0.0000000000","0.0000000000"
"77","3451","-1146.3120272267","0.0029984229","0.4183530383","1.0338859303","523.3156476905","364.6025195506","158.7131281399","253.7163997193","293.9181041480","-40.2017044286","-46.1285509526","5.9268465240","132.1329364150","170.8772272030","-9.0920594700","-143.4879619622","134.3959024922","5.0835995828","14.9740419872","112.0752948449","0.0000000000","0.0000000000"
"78","11049","-1146.3138412478","0.0029929886","0.4213460269","1.0349673806","523.3167291409","364.8259907342","158.4907384067","253.9398709029","292.3794785188","-38.4396076158","-44.3097669537","5.8701593378","132.9252763752","169.0608570491","-9.6066549056","-143.2565711662","133.6499162606","4.9903577798","14.8657583685","113.0691602269","0.0000000000","0.0000000000"
"79","11184","-1146.3280305806","0.0029508200","0.4242968468","1.0434265207","523.3251882809","364.5528513338","158.7723369472","253.6667315025","295.1187874499","-41.4520559474","-47.3524529986","5.9003970512","132.2886816518","172.1045872760","-9.2744814779","-143.9390540874","134.6645726094","5.0472999508","15.0716961883","112.1696855127","0.0000000000","0.0000000000"
"80","9760","-1146.3287624729","0.0029486611","0.4272455079","1.0438628471","523.3256246073","364.5678381159","158.7577864914","253.6817182846","290.3031721480","-36.6214538633","-42.4323193213","5.8108654580","133.2966288645","167.1468567642","-10.1403134807","-144.1357002425","133.9953867618","4.9286621371","15.1324413580","113.2355253694","0.0000000000","0.0000000000"
"81","10662","-1146.3373069700","0.0029235736","0.4301690815","1.0489567510","523.3307185112","364.9275655644","158.4031529468","254.0414457332","293.0720100244","-39.0305642912","-44.9021751039","5.8716108127","133.2624812524","169.6724571044","-9.8629283324","-143.9748701937","134.1119418613","4.9590443384","14.9035245193","113.3999123947","0.0000000000","0.0000000000"
"82","2070","-1146.3387108199","0.0029194722","0.4330885536","1.0497936728","523.3315554331","364.4846970170","158.8468584161","253.5985771858","294.9250298239","-41.3264526381","-47.2204448352","5.8939921970","132.4948440314","172.0080155027","-9.5778297102","-144.9080100041","135.3301802939","5.0715547127","15.1775649944","112.2457243244","0.0000000000","0.0000000000"
"83","6887","-1146.3392234484","0.0029179760","0.4360065296","1.0500992824","523.3318610427","364.5585889542","158.7732720885","253.6724691230","293.5770928896","-39.9046237666","-45.8210910601","5.9164672934","132.3214406045","170.6673755661","-9.4117232809","-144.4898177745","135.0780944935","5.1076635135","15.0880750760","112.1257020151","0.0000000000","0.0000000000"
"84","12123","-1146.3427799791","0.0029076165","0.4389141462","1.0522195506","523.3339813109","364.6987441143","158.6352371966","253.8126242831","289.4256034949","-35.6129792119","-41.4566992468","5.8437200350","133.5869400976","165.8972458552","-10.0585824579","-144.2977552452","134.2391727873","4.9010048672","14.8883517395","113.7975834909","0.0000000000","0.0000000000"
"85","7444","-1146.3471878488","0.0028948283","0.4418089745","1.0548473547","523.3366091150","364.7896283992","158.5469807158","253.9035085680","290.2457532768","-36.3422447089","-42.1924467004","5.8502019915","134.2426713594","166.0778989029","-10.0748169855","-143.0948036365","133.0199866510","4.8480623316","14.8447217229","114.5498873049","0.0000000000","0.0000000000"
"86","12716","-1146.3483736192","0.0028913978","0.4447003723","1.0555542659","523.3373160262","363.8984896599","159.4388263663","253.0123698287","287.1659912985","-34.1536214698","-39.9935558848","5.8399344150","134.0369639509","163.3230579852","-10.1940306376","-143.8489419069","133.6549112693","4.9101688963","14.6278069233","114.4989881313","0.0000000000","0.0000000000"
"87","8576","-1146.3501218105","0.0028863475","0.4475867197","1.0565964711","523.3383582313","364.5785039231","158.7598543082","253.6923840919","294.9205195493","-41.2281354575","-47.1377252103","5.9095897528","132.2994746015","171.8840880626","-9.2630431148","-143.9263442845","134.6633011698","5.0479746856","15.0681175134","112.1833824025","0.0000000000","0.0000000000"
"88","13032","-1146.3515275631","0.0028822928","0.4504690126","1.0574345273","523.3391962875","364.4249707631","158.9142255244","253.5388509319","289.6709541611","-36.1321025958","-41.9475375238","5.8154349280","133.8261711302","166.0720375202","-10.2272544893","-144.4227985857","134.1955440964","4.9314467630","15.2412458746","113.6534784926","0.0000000000","0.0000000000"
"89","5959","-1146.3613911761","0.0028540028","0.4533230153","1.0633148379","523.3450765981","364.5837757850","158.7613008132","253.6976559537","290.0435975219","-36.3459415681","-42.1591926884","5.8132511202","133.2999505573","166.8794388610","-10.1357918965","-144.1329023098","133.9971104133","4.9284688421","15.1322022297","113.2392794855","0.0000000000","0.0000000000"
"90","11032","-1146.3784959849","0.0028056007","0.4561286161","1.0735120738","523.3552738340","365.2434540529","158.1118197811","254.3573342217","294.4797895699","-40.1224553482","-45.9938524423","5.8713970941","133.2150401138","171.2564660990","-9.9917166429","-142.8297395347","132.8380228917","4.9125469160","15.5038123415","112.7986808564","0.0000000000","0.0000000000"
"91","9698","-1146.3845298311","0.0027887231","0.4589173392","1.0771092232","523.3588709835","364.8781948692","158.4806761142","253.9920750380","291.2166267513","-37.2245517133","-43.1243883567","5.8998366434","133.3831627432","167.4708769011","-9.6374128929","-143.6443549840","134.0069420911","4.9421833484","15.2189720793","113.2220073154","0.0000000000","0.0000000000"
"92","7606","-1146.3924716657","0.0027666633","0.4616840025","1.0818438427","523.3636056029","364.4865018319","158.8771037711","253.6003820006","290.3177865808","-36.7174045802","-42.5933608318","5.8759562516","132.7469618935","167.2818028562","-9.7109781689","-144.2015767132","134.4905985443","4.9599322740","14.9881413542","112.7988882653","0.0000000000","0.0000000000"
"93","4279","-1146.3971944097","0.0027536278","0.4644376303","1.0846593629","523.3664211231","364.6545341327","158.7118869904","253.7684143014","293.1451817339","-39.3767674325","-45.1825352461","5.8057678136","133.3657705313","170.0421624003","-10.2627511977","-144.7527374726","134.4899862749","4.9574840718","15.2559084355","113.1523780240","0.0000000000","0.0000000000"
"94","7342","-1146.3973907864","0.0027530871","0.4671907174","1.0847764352","523.3665381954","364.6121049376","158.7544332578","253.7259851063","290.4110293501","-36.6850442437","-42.5087246994","5.8236804557","133.2917642427","167.2660436371","-10.1467785297","-144.1420257528","133.9952472231","4.9272886685","15.1375235873","113.2269519869","0.0000000000","0.0000000000"
"95","2806","-1146.4143959955","0.0027066661","0.4698973836","1.0949142935","523.3766760538","364.4636787812","158.9129972726","253.5775589499","289.5448052999","-35.9672463499","-41.8003739684","5.8331276184","133.8264373082","165.9154636292","-10.1970956375","-144.3629589335","134.1658632960","4.9347760366","15.1995310307","113.6921302408","0.0000000000","0.0000000000"
"96","3714","-1146.4210605409","0.0026886874","0.4725860710","1.0988874418","523.3806492021","364.5051737537","158.8754754483","253.6190539225","290.3463595440","-36.7273056215","-42.5947031411","5.8673975196","132.7191757160","167.3317974134","-9.7046135854","-144.1623399178","134.4577263324","4.9600706916","14.9608032470","112.7983017773","0.0000000000","0.0000000000"
"97","10978","-1146.4334855635","0.0026554871","0.4752415581","1.1062947673","523.3880565275","365.1465433300","158.2415131976","254.2604234987","292.5173401366","-38.2569166379","-44.1605648734","5.9036482355","133.4376609445","168.6886937361","-9.6090145440","-143.2635143137","133.6544997697","4.9325654461","14.6269399106","113.8781555879","0.0000000000","0.0000000000"
"98","6078","-1146.4420580026","0.0026328204","0.4778743785","1.1114053292","523.3931670895","364.4886827224","158.9044843671","253.6025628911","296.0233593357","-42.4207964446","-48.2584154222","5.8376189776","132.6759989947","173.1134105238","-9.7660501828","-145.3769091535","135.6108589707","5.0359412649","15.2929928351","112.3470648947","0.0000000000","0.0000000000"
"99","5864","-1146.4549576879","0.0025990759","0.4804734544","1.1190956306","523.4008573908","364.7691632044","158.6316941864","253.8830433731","295.0173969940","-41.1343536209","-47.0674408564","5.9330872356","132.0847007350","171.8912914086","-8.9585951496","-143.5019703280","134.5433751784","5.1069260661","14.8452013692","112.1325732997","0.0000000000","0.0000000000"
"100","6424","-1146.4555780679","0.0025974640","0.4830709184","1.1194654775","523.4012272377","364.6626489905","158.7385782473","253.7765291592","297.4614867532","-43.6849575940","-49.5731644774","5.8882068834","132.3208319571","174.4893039911","-9.3486491950","-144.5219503822","135.1733011872","5.0803735953","15.1539536162","112.0865047456","0.0000000000","0.0000000000"
"101","2165","-1146.4660383133","0.0025704355","0.4856413540","1.1257014776","523.4074632378","364.7502419882","158.6572212496","253.8641221570","289.6739901532","-35.8098679962","-41.6506719987","5.8408040024","134.1505357253","165.8080253213","-10.2845708934","-142.8164510950","132.5318802017","4.8479364810","14.6094343777","114.6931648666","0.0000000000","0.0000000000"
"102","8466","-1146.4703309417","0.0025594253","0.4882007792","1.1282605792","523.4100223395","365.0520262748","158.3579960647","254.1659064436","294.1945998777","-40.0286934342","-45.9202500585","5.8915566243","133.0560961101","170.7344166340","-9.5959128663","-143.3926221562","133.7967092899","4.9641474004","15.2354709621","112.8564777475","0.0000000000","0.0000000000"
"103","6309","-1146.4824154620","0.0025286820","0.4907294612","1.1354649103","523.4172266705","364.5330398436","158.8841868269","253.6469200123","292.6185289450","-38.9716089327","-44.8596013114","5.8879923787","132.4298403281","169.6658076231","-9.4771190062","-144.2896980566","134.8125790504","5.0428522923","15.0745853353","112.3124027006","0.0000000000","0.0000000000"
"104","4967","-1146.5131884658","0.0024520519","0.4931815131","1.1538106038","523.4355723640","364.4059593279","159.0296130361","253.5198394967","287.6406052424","-34.1207657457","-39.9299796140","5.8092138683","133.9388648862","164.0957199322","-10.3939795761","-144.6076352010","134.2136556250","4.8810692859","14.8678599239","114.1899356764","0.0000000000","0.0000000000"
"105","5960","-1146.5153746660","0.0024466971","0.4956282102","1.1551139331","523.4368756933","364.7281727426","158.7087029508","253.8420529113","293.0294205573","-39.1873676460","-45.1188779682","5.9315103222","132.2120770552","169.8866618982","-9.0693183961","-143.3693935316","134.3000751355","5.0378976743","14.8595639214","112.3146154596","0.0000000000","0.0000000000"
"106","11472","-1146.5216495742","0.0024313924","0.4980596026","1.1588547945","523.4406165547","364.6519275654","158.7886889893","253.7658077342","289.2119495160","-35.4461417818","-41.2960683115","5.8499265297","134.2153034190","165.0164927290","-10.0198466320","-142.8174523084","132.7976056765","4.8733098173","14.5292851242","114.8127084774","0.0000000000","0.0000000000"
"107","10984","-1146.5290817120","0.0024133889","0.5004729915","1.1632855521","523.4450473124","365.3235002416","158.1215470708","254.4373804104","296.2445664989","-41.8071860885","-47.6876042803","5.8804181917","133.4126039956","172.7982457829","-9.9662832795","-143.4228237047","133.4565404252","4.9985980912","15.3824070316","113.0315988727","0.0000000000","0.0000000000"
"108","10615","-1146.5311929067","0.0024082992","0.5028812907","1.1645441661","523.4463059263","364.5060524307","158.9402534956","253.6199325995","293.4412262010","-39.8212936015","-45.7075209264","5.8862273249","132.6123449516","170.4905196986","-9.6616384492","-144.7581793773","135.0965409281","5.0068739539","15.1878632383","112.4176077594","0.0000000000","0.0000000000"
"109","11359","-1146.5313836678","0.0024078398","0.5052891305","1.1646578906","523.4464196508","364.8779414688","158.5684781821","253.9918216375","291.6370000743","-37.6451784368","-43.5300872536","5.8849088168","132.9963267111","168.3670402080","-9.7263668448","-143.2513715370","133.5250046922","4.9680954997","14.9916727483","113.0365584632","0.0000000000","0.0000000000"
"110","12576","-1146.5318779189","0.0024066500","0.5076957805","1.1649525442","523.4467143045","364.5570405401","158.8896737644","253.6709207088","292.2547046417","-38.5837839329","-44.4758455562","5.8920616234","132.4235372636","169.3147237372","-9.4835563591","-144.3148385527","134.8312821936","5.0438652075","15.0799571004","112.2997149557","0.0000000000","0.0000000000"
"111","8915","-1146.5355444859","0.0023978420","0.5100936225","1.1671384120","523.4489001722","365.0776433755","158.3712567967","254.1915235442","297.3451497511","-43.1532920372","-49.0772057991","5.9239137619","132.7392174230","173.9722164456","-9.3662841175","-143.5242142957","134.1579301781","5.0517951691","15.3628968860","112.3245253680","0.0000000000","0.0000000000"
"112","8338","-1146.5368774367","0.0023946480","0.5124882705","1.1679330665","523.4496948267","365.5810920258","157.8686028009","254.6949721946","287.9228878101","-33.2279156155","-39.3327932726","6.1048776571","139.3468817090","155.6642250105","-7.0882189094","-138.5290794983","131.4408605889","4.6550445767","12.2009342466","122.4909028858","0.0000000000","0.0000000000"
"113","12733","-1146.5424951091","0.0023812333","0.5148695038","1.1712821089","523.4530438691","364.3176918349","159.1353520342","253.4315720037","291.3250077786","-37.8934357750","-43.7623761259","5.8689403509","132.9672043450","168.1766173556","-9.8188139219","-144.8693680378","135.0505541159","4.9452231434","15.0559585682","112.9660226334","0.0000000000","0.0000000000"
"114","1657","-1146.5480418061","0.0023680619","0.5172375657","1.1745888385","523.4563505988","364.5721397309","158.8842108679","253.6860198997","291.4702048746","-37.7841849749","-43.6559757129","5.8717907380","132.4587986870","168.5910509568","-9.5796447693","-144.0633909973","134.4837462280","4.9740114264","14.8322205746","112.6525666861","0.0000000000","0.0000000000"
"115","6000","-1146.5482341617","0.0023676064","0.5196051721","1.1747035136","523.4564652739","364.7644377554","158.6920275184","253.8783179242","295.7001886684","-41.8218707442","-47.7200381257","5.8981673815","132.2266344203","172.6263088746","-9.1527546265","-143.9570188998","134.8042642733","5.0709241048","14.9594065392","112.1963037763","0.0000000000","0.0000000000"
"116","3732","-1146.5502146261","0.0023629221","0.5219680942","1.1758841911","523.4576459513","364.5233781602","158.9342677911","253.6372583290","293.5848642154","-39.9476058865","-45.8066601280","5.8590542416","132.6222419629","170.6250534775","-9.6624312249","-144.7562207572","135.0937895323","5.0062423325","15.1937036033","112.4222960271","0.0000000000","0.0000000000"
"117","10274","-1146.5507120815","0.0023617470","0.5243298412","1.1761807550","523.4579425153","365.2102528472","158.2476896681","254.3241330159","294.3178772515","-39.9937442355","-45.8576525398","5.8639083042","133.5978667508","170.7452921268","-10.0252816261","-143.3566826024","133.3314009762","4.9382607434","15.3870419904","113.2725640170","0.0000000000","0.0000000000"
"118","4751","-1146.5512569360","0.0023604605","0.5266903017","1.1765055766","523.4582673369","364.3036974783","159.1545698586","253.4175776470","289.7641344272","-36.3465567802","-42.2217130157","5.8751562355","133.0751892426","166.4356097202","-9.7466645356","-144.8028361967","135.0561716611","4.9946898353","14.8337215829","113.2467778244","0.0000000000","0.0000000000"
"119","3501","-1146.5539413502","0.0023541325","0.5290444342","1.1781059222","523.4598676824","364.7010198573","158.7588478251","253.8149000260","289.9881888642","-36.1732888381","-42.0006777522","5.8273889141","133.2836613715","166.8393162835","-10.1347887908","-144.1309524867","133.9961636959","4.9285719574","15.1283473645","113.2267420497","0.0000000000","0.0000000000"
"120","2111","-1146.5586779901","0.0023430082","0.5313874425","1.1809297266","523.4626914868","365.3231009499","158.1395905369","254.4369811187","292.5777550646","-38.1407739459","-44.0009807672","5.8602068212","133.7373770077","169.0258772395","-10.1854991827","-143.0940078568","132.9085086741","4.8957338426","14.9015638461","113.9400793191","0.0000000000","0.0000000000"
